timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734109657121,80,Notice/home/notice-459,200,OK,for 100 samples 2-1,text,true,,3583,510,4,6,https://cse.buet.ac.bd/home/notice,80,0,0
1734109657061,150,Moodle/moodle/my/-467,200,OK,for 50 samples 1-2,text,true,,14077,517,2,6,https://cse.buet.ac.bd/moodle/my/,149,0,0
1734109656951,295,Home/submit/firefox-desktop/newtab/1/e4643b50-a43e-43b0-8c77-cdea35172535-447,200,OK,for 100 samples 2-2,text,true,,725,3162,4,6,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/e4643b50-a43e-43b0-8c77-cdea35172535,295,0,0
1734109657155,122,Home/complete/search-445,200,OK,for 100 samples 2-3,text,true,,1493,294,4,6,https://www.google.com/complete/search?client=firefox&channel=fen&q=cse,122,0,0
1734109656962,319,Moodle/moodle/-437,200,OK,for 100 samples 2-4,text,true,,12080,455,4,6,https://cse.buet.ac.bd/moodle/,318,0,132
1734109657212,109,Moodle/moodle/my/courses.php-468,200,OK,for 50 samples 1-2,text,true,,8817,520,3,7,https://cse.buet.ac.bd/moodle/my/courses.php,109,0,0
1734109657277,90,Home/-446,200,OK,for 100 samples 2-3,text,true,,7496,448,5,8,https://cse.buet.ac.bd/,90,0,0
1734109657090,301,Home/submit/firefox-desktop/newtab/1/f1436be5-da62-4c87-9a7e-746f5b316b35-430,200,OK,for 50 samples 1-1,text,true,,764,3166,3,8,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/f1436be5-da62-4c87-9a7e-746f5b316b35,301,0,0
1734109657201,199,HTTP Request,200,OK,for 100 samples 2-1,text,true,,85016,183,5,8,https://cse.buet.ac.bd/moodle/,97,0,0
1734109657368,65,Home/public/img/Arrow-l.png-448,200,OK,for 100 samples 2-3,bin,true,,956,463,4,7,https://cse.buet.ac.bd/public/img/Arrow-l.png,65,0,0
1734109657320,178,Moodle/moodle/badges/view.php-469,200,OK,for 50 samples 1-2,text,true,,8779,1071,3,7,https://cse.buet.ac.bd/moodle/login/index.php,81,0,0
1734109657320,81,Moodle/moodle/badges/view.php-469-0,303,See Other,for 50 samples 1-2,text,true,,2087,539,3,7,https://cse.buet.ac.bd/moodle/badges/view.php?type=1,81,0,0
1734109657401,97,Moodle/moodle/badges/view.php-469-1,200,OK,for 50 samples 1-2,text,true,,6692,532,3,7,https://cse.buet.ac.bd/moodle/login/index.php,97,0,0
1734109657433,83,Home/public/img/Arrow-r.png-450,200,OK,for 100 samples 2-3,bin,true,,950,463,4,7,https://cse.buet.ac.bd/public/img/Arrow-r.png,83,0,0
1734109657245,300,Home/public/img/service/Outreach.jpg-453,200,OK,for 100 samples 2-2,bin,true,,191370,472,4,7,https://cse.buet.ac.bd/public/img/service/Outreach.jpg,75,0,0
1734109657499,93,Moodle/moodle/blog/index.php-470,404,Not Found,for 50 samples 1-2,text,false,,24943,539,3,7,https://cse.buet.ac.bd/moodle/blog/index.php,85,0,0
1734109657390,204,Home/web/assets/img/news/PG_Seminar_(CSE-BUET):_Efficie.jpg-425,200,OK,for 50 samples 1-1,bin,true,,66116,495,3,7,https://cse.buet.ac.bd/web/assets/img/news/PG_Seminar_(CSE-BUET):_Efficie.jpg,143,0,0
1734109657280,391,Moodle/submit/firefox-desktop/newtab/1/6d103e41-e065-47fb-98ba-863943ccfa79-439,200,OK,for 100 samples 2-4,text,true,,934,3082,4,7,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/6d103e41-e065-47fb-98ba-863943ccfa79,391,0,90
1734109657592,84,Moodle/moodle/pluginfile.php/13650/user/icon/classic/f2-471,200,OK,for 50 samples 1-2,bin,true,,2262,520,3,7,https://cse.buet.ac.bd/moodle/pluginfile.php/13650/user/icon/classic/f2?rev=34622,84,0,0
1734109657342,360,Moodle/v1/profile-435,200,OK,for 100 samples 2-5,text,true,,941,1292,4,7,https://profile.accounts.firefox.com/v1/profile,360,0,106
1734109657304,410,HTTP Request,200,OK,for 50 samples 1-3,text,true,,85017,183,3,7,https://cse.buet.ac.bd/moodle/,313,0,141
1734109657517,229,Home/public/img/program/pg-ds.jpg-449,200,OK,for 100 samples 2-3,bin,true,,115963,469,4,7,https://cse.buet.ac.bd/public/img/program/pg-ds.jpg,65,0,0
1734109657676,78,Moodle/moodle/theme/image.php/classic/core/1731384351/f/pdf-472,200,OK,for 50 samples 1-2,bin,true,,1059,514,3,7,https://cse.buet.ac.bd/moodle/theme/image.php/classic/core/1731384351/f/pdf,78,0,0
1734109657546,239,Home/public/img/service/Training.jpg-451,200,OK,for 100 samples 2-2,bin,true,,199284,472,4,7,https://cse.buet.ac.bd/public/img/service/Training.jpg,71,0,0
